Time (s),PL (norm.),QFLS (eV),tau_diff(s)
1.0000117734384182,3.624265133298747e+26,1.0219625903201541,1.1867072061767223e-05
1.0000118245066638,3.593273069728344e+26,1.0217405808933926,1.1918613997146434e-05
1.0000118746763083,3.563213123191715e+26,1.021523411677364,1.1969188306296234e-05
1.0000119248459527,3.533529540226299e+26,1.0213071561881581,1.2019611930611834e-05
1.0000119750155971,3.504215850321239e+26,1.0210918052375304,1.2069729690997598e-05
1.0000121064442196,3.429129276226246e+26,1.0205318622714492,1.2201057808358973e-05
1.000012237872842,3.3564341871340385e+26,1.0199779472846238,1.2332994205360479e-05
1.0000123693014644,3.286028531615149e+26,1.0194299201925492,1.246458841373829e-05
1.0000125139379679,3.2110780064542086e+26,1.0188334602236961,1.2609323614816697e-05
1.0000126585744713,3.138664225856208e+26,1.0182438143030774,1.2754247455708655e-05
1.0000128032109747,3.068674353527157e+26,1.0176608318068705,1.289908054201655e-05
1.0000129761727898,2.988010654691429e+26,1.0169722173001519,1.3072579796943808e-05
1.000013149134605,2.9104919359209715e+26,1.0162927052545272,1.3246431852058494e-05
1.00001332209642,2.8359553954398434e+26,1.0156220466483437,1.3419650247469484e-05
1.0000134283184108,2.7915880180403987e+26,1.0152144212412253,1.3524829097113475e-05
1.0000135345404015,2.7482476134477266e+26,1.014809927053075,1.3629466592878849e-05
1.0000137348174076,2.6692246982272583e+26,1.0140557132179884,1.3828502299821313e-05
1.0000139350944137,2.5935609668474876e+26,1.0133123358397411,1.4028858588349748e-05
1.0000141353714198,2.5210708808340586e+26,1.0125795101892558,1.423041279002169e-05
1.0000144841612457,2.4019261291977933e+26,1.0113279910345974,1.45833675527767e-05
1.0000148329510716,2.2910630456226497e+26,1.0101064008043419,1.4934498968498714e-05
1.0000151817408975,2.1877036125876428e+26,1.0089130279859877,1.528329451101825e-05
1.0000155305307235,2.0911818131509164e+26,1.00774655207327,1.5631928455928056e-05
1.0000158793205494,2.000909435866043e+26,1.0066058102130746,1.5980873755196596e-05
1.0000162281103753,1.9163599950943007e+26,1.0054897128221187,1.6330045897993744e-05
1.0000165769002012,1.837060395490853e+26,1.0043972271274109,1.6677834903923635e-05
1.0000171365065154,1.719745620215335e+26,1.0026913119268608,1.723509402573191e-05
1.0000176961128295,1.613314360866778e+26,1.0010398023738976,1.7794449417700167e-05
1.0000182557191437,1.51646645900221e+26,0.9994394253439828,1.8354825617753554e-05
1.0000188153254579,1.4280897546513472e+26,0.9978871964861493,1.891577046019044e-05
1.000019374931772,1.347224396764841e+26,0.996380309595412,1.947482737114686e-05
1.0000201071773172,1.2513887099742407e+26,0.9944726978436762,2.0205739470704495e-05
1.0000208394228622,1.165428164831561e+26,0.992633002130916,2.0938652220401045e-05
1.0000215716684073,1.0880312978371998e+26,0.9908565568644369,2.167169496617112e-05
1.0000223039139524,1.018097933703247e+26,0.9891391767304374,2.2404902251149462e-05
1.0000230361594975,9.546985828085067e+25,0.9874770679697533,2.3136279982421108e-05
1.0000239463439815,8.838224650035946e+25,0.9854829358011328,2.404583070998727e-05
1.0000248565284655,8.205602902969286e+25,0.9835630124513933,2.4957984163161348e-05
1.0000257667129495,7.63857712558298e+25,0.9817119294662984,2.5869323312146792e-05
1.0000266768974335,7.128362026034439e+25,0.9799248532599704,2.6779394825512266e-05
1.0000275870819175,6.667589417112164e+25,0.9781974095528643,2.768992893436393e-05
1.0000284972664015,6.250110175968913e+25,0.9765259020886954,2.8599262007222306e-05
1.0000295721336152,5.805686775412492e+25,0.9746191019271103,2.9672517017784887e-05
1.0000306470008289,5.407039682471674e+25,0.9727801608933428,3.074817715895394e-05
1.0000317218680426,5.048087715712907e+25,0.9710043975890694,3.182348735368997e-05
1.0000327967352562,4.7237270317106815e+25,0.9692875967966418,3.289881253751746e-05
1.00003387160247,4.4296556098041095e+25,0.9676259908688702,3.397149457289189e-05
1.0000352329250857,4.095029970962199e+25,0.9655954515775839,3.5331234653231515e-05
1.0000365942477014,3.7969597931206483e+25,0.9636418050587768,3.6695168064848774e-05
1.0000379555703172,3.5302950874736727e+25,0.9617593551326862,3.805825216816631e-05
1.000039316892933,3.290774363666851e+25,0.9599431012103579,3.941813402371792e-05
1.0000406782155487,3.0747995135620138e+25,0.9581882524601499,4.0795460836023345e-05
1.0000409123116925,3.0398159166208882e+25,0.9578924461767828,4.103399934020694e-05
1.0000411464078363,3.0054279648150503e+25,0.9575983397525654,4.1267373585630404e-05
1.00004138050398,2.971617105259785e+25,0.9573058695291661,4.149826689282315e-05
1.0000416146001239,2.9383715970696686e+25,0.9570150267743072,4.17290491216449e-05
1.0000420827924115,2.8735252584368012e+25,0.9564381368846163,4.219153843833208e-05
1.000042550984699,2.810797450578249e+25,0.9558675702676342,4.2657714970877893e-05
1.0000430191769867,2.75010021042223e+25,0.9553032201329652,4.312711872177809e-05
1.0000438125557494,2.6516592699062668e+25,0.954360905490643,4.392666547910299e-05
1.000044605934512,2.558424393101387e+25,0.9534355951566079,4.472343505335999e-05
1.0000453993132747,2.470021667821182e+25,0.952526553154357,4.551621083156344e-05
1.0000461926920374,2.3861205707681636e+25,0.9516331925383307,4.630755465959083e-05
1.00004730287585,2.275712498216478e+25,0.9504084842070886,4.741607196609123e-05
1.0000484130596627,2.1727946864070196e+25,0.9492121263849345,4.85267134591838e-05
1.0000495232434754,2.0767040416163683e+25,0.9480428295237014,4.9637117181924956e-05
1.000050633427288,1.986849481100935e+25,0.9468993924172594,5.074192208288091e-05
1.0000525094054906,1.8477359816740403e+25,0.9450228912594134,5.260546545852712e-05
1.0000543853836932,1.7227211268522991e+25,0.9432118734804611,5.44771894364889e-05
1.0000562613618957,1.6099722947323775e+25,0.9414620678750946,5.635380715989112e-05
1.0000581373400983,1.5079452055519804e+25,0.9397696277860924,5.823352914244611e-05
1.0000600133183009,1.4153233158130759e+25,0.9381309345415315,6.01085565961024e-05
1.0000622579848848,1.3152937456189051e+25,0.9362361085806846,6.234977808769021e-05
1.0000645026514687,1.2255052556814493e+25,0.9344082668662879,6.459450438773352e-05
